trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.3811821070061,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.48865530965764,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-72.50252121919253,"{0: 18, 1: 6, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.5229595730993,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.31311351595915,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.61064872074708,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.03405823271473,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.12989261751494,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.27525724887207,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-279.01775704443065,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.76713417562938,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-229.96797265709182,"{0: 12, 1: 5, 2: 10, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.32044099748836,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.83034510334825,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.96321037015325,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.53438050188026,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.05944397119686,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.74946890172606,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.4038756305048,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.40445360299755,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-54.57131363367526,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,12,-17.825373283769977,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-110.05214356694678,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.45892902700577,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.38761998295597,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.31273963211203,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.16776459638869,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.82656557247269,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.6920484920882,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-169.48876083375902,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
